Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Industry,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Construction,Units,0.507,0.526,0.641,0.691,0.732,0.814,0.793,1.116,1.407,1.933,2.221,2.471,3.169,2.497,3.178,3.174,2.886,2.789,2.78,2.868,4.208,5.514,5.379,5.735
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Education,Units,0.273,0.341,0.327,0.364,0.383,0.423,0.487,0.52,0.514,0.569,0.54,0.478,0.524,0.318,0.316,0.331,0.337,0.325,0.444,0.475,0.635,0.42,0.414,0.43
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Electrical equipment,Units,0.016,0.017,0.02,0.025,0.027,0.031,0.036,0.04,0.037,0.045,0.036,0.029,0.052,0.026,0.034,0.032,0.026,0.023,0.033,0.04,0.333,0.13,0.163,0.181
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Electricity, gas, steam and air conditioning supply",Units,4.605,5.75,8.265,10.264,9.143,10.878,11.462,14.778,15.221,18.957,22.61,24.847,26.731,29.042,31.313,40.171,39.392,40.837,43.741,52.115,69.757,95.122,91.416,118.187
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Fabricated metal products,Units,0.044,0.049,0.065,0.078,0.082,0.11,0.095,0.118,0.135,0.187,0.194,0.202,0.225,0.195,0.25,0.237,0.191,0.177,0.215,0.229,0.523,0.326,0.366,0.41
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Financial and insurance activities,Units,0.138,0.185,0.17,0.193,0.201,0.229,0.27,0.28,0.269,0.31,0.305,0.275,0.292,0.393,0.412,0.459,0.491,0.471,0.521,0.553,0.74,0.455,0.449,0.462
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Fishing and aquaculture,Units,0.914,0.961,1.106,1.164,1.247,1.335,1.853,2.118,2.197,2.47,2.226,1.996,1.809,2.596,2.963,3.411,3.714,3.41,3.329,3.024,3.0,2.635,2.772,2.727
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Food products, beverages and tobacco",Units,0.371,0.472,0.497,0.581,0.7,0.82,0.774,0.766,0.732,0.874,0.7,0.606,0.605,0.702,0.64,4.655,4.354,3.879,3.867,4.353,5.074,1.844,1.969,2.614
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Human health and social work activities,Units,0.146,0.181,0.176,0.195,0.209,0.23,0.286,0.29,0.27,0.286,0.261,0.22,0.216,0.189,0.183,0.188,0.188,0.167,0.164,0.168,0.237,0.11,0.097,0.094
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",IT and other information services,Units,0.017,0.024,0.02,0.024,0.023,0.024,0.025,0.024,0.023,0.026,0.026,0.024,0.025,0.032,0.031,0.033,0.034,0.031,0.038,0.039,0.054,0.026,0.024,0.024
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Land transport and transport via pipelines,Units,0.776,0.778,0.856,0.947,1.027,1.094,1.963,2.5,2.841,3.754,3.624,3.572,4.026,4.092,5.325,5.599,5.318,5.38,5.562,6.161,7.108,7.436,7.635,7.783
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Machinery and equipment n.e.c.,Units,0.09,0.088,0.114,0.132,0.159,0.209,0.11,0.096,0.081,0.082,0.058,0.038,0.033,0.026,0.033,0.033,0.027,0.029,0.024,0.023,0.092,0.039,0.046,0.05
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Manufacturing nec; repair and installation of machinery and equipment,Units,6.077,6.447,7.71,8.022,8.059,8.471,10.715,11.967,12.83,14.918,15.757,15.818,17.659,20.78,22.902,5.196,5.225,5.285,5.323,5.903,6.295,0.963,1.247,1.689
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Mining and quarrying, energy producing products",Units,0.064,0.073,0.082,0.086,0.104,0.108,0.104,0.14,0.17,0.226,0.238,0.233,0.267,0.621,1.011,1.344,1.63,2.071,1.931,2.037,2.214,2.152,2.559,2.78
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Mining and quarrying, non-energy producing products",Units,0.023,0.024,0.028,0.03,0.032,0.035,0.045,0.075,0.107,0.16,0.191,0.213,0.27,0.353,0.479,0.517,0.514,0.55,0.477,0.519,1.285,1.982,2.451,2.931
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Mining support service activities,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.123,0.242,0.317,0.395
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Motor vehicles, trailers and semi-trailers",Units,0.007,0.007,0.008,0.008,0.009,0.009,0.016,0.022,0.027,0.04,0.044,0.052,0.089,0.05,0.061,0.058,0.045,0.049,0.046,0.037,0.192,0.129,0.161,0.172
