Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,,,,,25.15462,25.26532,25.34265,25.44828,25.54437,25.61965,25.7157
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,25.15462,25.26311,25.34286,25.4658,25.53424,25.56438,25.59918
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,,,,,25.15472,25.26522,25.34269,25.45967,25.54134,25.59627,25.65558
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,,,,,25.15482,25.26628,25.35912,25.41208,25.42651,25.41818,25.41452
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,25.15488,25.26667,25.34186,25.44462,25.52288,25.57994,25.65187
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,25.15482,25.26815,25.36188,25.41992,25.43575,25.4206,25.42315
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,,,,,25.15243498,25.26008611,25.34205226,25.42816712,25.46720396,25.4755738,25.49818835
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,,,,,25.15243498,25.25964291,25.33714304,25.43901807,25.52556745,25.59839668,25.69397813
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,25.15243498,25.25964291,25.33714304,25.43767964,25.49871178,25.51823245,25.5194573
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,,,,,25.15243498,25.25964291,25.33714304,25.43682847,25.51267669,25.56815482,25.63159824
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,,,,,25.15243498,25.26382797,25.33693783,25.38649117,25.36075883,25.31712326,25.28096805
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,25.15243498,25.25845843,25.33548618,25.42717683,25.48700056,25.53039283,25.57841439
Vietnam,VN,VNM,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,25.15243498,25.26020016,25.33809908,25.39624439,25.39205086,25.3646958,25.35630328
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Below 2°C,Degree Celsius,,,,,25.36412,25.58114,25.79809,26.01743,26.17834,26.30606,26.44741
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,,,,,25.3379,25.54259,25.73641,25.93685,26.13609,26.35629,26.5737
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,25.36355,25.56778,25.75868,26.01817,26.21327,26.36488,26.50918
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Fragmented World,Degree Celsius,,,,,25.33807,25.54247,25.73658,25.9468,26.14026,26.33099,26.5072
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Low Demand,Degree Celsius,,,,,25.36339,25.56321,25.76526,25.97485,26.12561,26.23578,26.28844
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,25.33826,25.54741,25.74629,25.95422,26.14746,26.34386,26.53691
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,25.36432,25.58633,25.81072,26.01984,26.15789,26.24952,26.27616
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,,,,,25.34816,25.5784,25.80958,26.02381,26.17417,26.29138,26.43455
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,,,,,25.3234,25.54746,25.72582,25.93211,26.13932,26.34219,26.54354
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,25.34802,25.57255,25.74792,26.01952,26.21955,26.34902,26.49502
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,,,,,25.32346,25.54706,25.72643,25.96794,26.17412,26.35262,26.50375
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,,,,,25.34818,25.58021,25.85052,26.04891,26.15649,26.22019,26.28623
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,25.32361,25.55059,25.73297,25.93588,26.13253,26.30828,26.4755
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,25.34818,25.57951,25.82488,26.007,26.09269,26.15227,26.21976
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,,,,,25.31932106,25.56962664,25.74415713,25.96059003,26.11514514,26.22404987,26.34180687
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,,,,,25.31932106,25.54114466,25.70576131,25.92258677,26.11602965,26.33026792,26.54902363
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,25.31932106,25.54114466,25.70576131,25.95782929,26.15238541,26.2745486,26.38652587
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,,,,,25.31932106,25.54114466,25.70576131,25.91963073,26.11447146,26.30745129,26.4751488
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,,,,,25.31932106,25.5532275,25.72791563,25.89065005,25.96530592,25.97338841,25.99067719
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,25.31932106,25.53901376,25.70877137,25.91880257,26.09909483,26.25492641,26.40149629
Vietnam,VN,VNM,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,25.31932106,25.57255344,25.75046512,25.93778902,26.02412484,26.05991542,26.1178887
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Below 2°C,Mt CO2/yr,,,,,0.104,0.0939,0.1574,1.2288,3.5846,4.612,4.9073
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Current Policies (Hot house world scenario),Mt CO2/yr,,,,,0.1024,0.0907,0.0928,0.097,0.1251,0.1239,0.1123
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Delayed Transition (Disorderly scenario),Mt CO2/yr,,,,,0.1024,0.0906,0.0925,0.2599,0.8045,0.651,0.7832
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Fragmented World,Mt CO2/yr,,,,,0.1051,0.0932,0.0957,0.0744,0.0214,0.0062,0.0031
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Low Demand,Mt CO2/yr,,,,,0.1041,0.0953,0.2535,5.1235,8.4579,9.2329,20.3882
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Nationally Determined Contributions (NDCs),Mt CO2/yr,,,,,0.1048,0.0939,0.0865,0.1026,0.1698,0.2493,0.3596
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,,,,,0.104,0.0947,0.9993,4.4231,7.8097,8.2976,16.811
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Below 2°C,Mt CO2/yr,,,,,0.0,0.0,0.0,0.492,1.0124,1.7368,3.2511
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Mt CO2/yr,,,,,0.0,0.0,0.0,0.2796,0.279,0.5967,1.079
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Fragmented World,Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.3426,1.1599,1.9096
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Low Demand,Mt CO2/yr,,,,,0.0,0.0,0.3464,0.8363,1.5756,2.512,4.4477
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,,,,,0.0,0.0,0.3447,0.6416,2.0031,4.2114,6.3108
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Below 2°C,Mt CO2/yr,,,,,0.0,0.0,0.0,0.0539,0.4205,1.9619,4.1695
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0252,0.2918,3.3455,6.5495
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Low Demand,Mt CO2/yr,,,,,0.0,0.0,0.1261,1.4833,4.9057,9.0335,12.1045
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Mt CO2/yr,,,,,0.0,0.0,0.0,0.012,0.0144,0.0146,0.0148
Vietnam,VN,VNM,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Mt CO2/yr,,,,,0.0,0.013,0.5834,2.7183,8.5036,15.6969,19.4268
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,GCAM,Below 2°C,EJ/yr,,,,,0.7182,0.6369,0.6323,0.6323,0.6442,0.58,0.5194
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,GCAM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.7073,0.6412,0.6336,0.6269,0.6795,0.6249,0.5896
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.707,0.6398,0.6309,0.6735,0.611,0.4751,0.3681
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,GCAM,Fragmented World,EJ/yr,,,,,0.7262,0.6589,0.6529,0.6014,0.5056,0.3431,0.2198
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,GCAM,Low Demand,EJ/yr,,,,,0.719,0.6468,0.679,0.6747,0.6616,0.5315,0.5807
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.7242,0.6644,0.615,0.64,0.6984,0.6895,0.6923
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.7187,0.6342,0.5992,0.5385,0.4897,0.3648,0.4002
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,,,,,0.9653,0.8502,0.5766,0.4898,0.3814,0.4778,0.6005
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.987,0.8268,0.6863,0.5482,0.3549,0.2786,0.1627
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.9862,0.8251,0.6829,0.7165,0.5114,0.5589,0.4823
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,,,,,0.9617,0.8024,0.6698,0.5463,0.4232,0.5476,0.5633
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,,,,,0.9631,0.8503,0.7994,0.807,0.7791,0.8713,1.0069
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.9643,0.8483,0.5038,0.3838,0.2152,0.1323,0.0702
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.9661,0.8523,0.8492,0.7324,0.86,0.9747,1.0037
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Below 2°C,EJ/yr,,,,,0.1313,0.1335,0.129,0.1345,0.1522,0.2565,0.3229
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,,,,,0.1387,0.1697,0.0818,0.0386,0.0403,0.0483,0.0614
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.1288,0.1546,0.0713,0.0544,0.0678,0.2638,0.3307
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Fragmented World,EJ/yr,,,,,0.1351,0.1579,0.0736,0.2204,0.03,0.0365,0.0459
