year,max,min,mean_temp
2009,41.0,6.0,24.7
2010,45.0,8.0,25.0
2011,40.0,5.0,23.5
2012,46.0,7.0,24.9
2013,44.0,5.0,24.8
2014,44.0,6.0,24.8
2015,43.0,9.0,25.4
2016,42.0,3.0,25.1
2017,43.0,9.0,25.0
2018,41.0,6.0,25.2
2019,43.0,8.0,25.9
2020,41.0,7.0,25.5
2021,40.0,2.0,23.9
